id,Title,Content,Categories,Tags
44455,"Mastering Composition—Simplicity","<!-- wp:embed {""url"":""https://youtube.com/live/WqA52Ao9NQk"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/WqA52Ao9NQk
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>In this livestream, I explore the theme of simplicity in composition, particularly in nature and landscape photography where chaos often prevails.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Simplify images in the field, using digital tools, and during editing.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Avoid overworking an image to maintain freshness and impact.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Use the LCU framework: lead the viewer, establish a center of interest, and create a harmonious image.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Achieving and Simplifying Composition</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Simplicity is achieved through contrast and variation in tonal values, colors, and shapes.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Example: Landscape photograph from Nova Scotia simplified by identifying broad shapes and converting to black and white.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Focus on three main shapes to guide the viewer's eye and create depth.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Emphasize the importance of maintaining simplicity while adding interest through variation.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Key Techniques for Simplicity and Depth</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li><strong>Foreground Interest:</strong>&nbsp;Create repetitive patterns to keep the viewer engaged.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Minimize Distractions:</strong>&nbsp;Simplify the background to maintain focus on the primary subject.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Tonality and Contrast:</strong>&nbsp;Darker elements appear closer, lighter elements recede.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Dominant Shapes:</strong>&nbsp;Define the frame and create visual connections within the image.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Dodging and Burning:</strong>&nbsp;Use these techniques to emphasize foreground shapes and create depth.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Black and White Conversion:</strong>&nbsp;Simplify the mood and enhance composition.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Revisiting and Refining</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Revisiting your work allows for a fresh perspective and continuous improvement.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li><strong>Fresh Perspective:</strong>&nbsp;Regularly revisit your work to identify areas for improvement.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Build Confidence:</strong>&nbsp;The process of creating, editing, and refining your images builds confidence.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li><strong>Shape Interaction:</strong>&nbsp;Focus on how shapes interact and harmonize within the composition.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Conclusion</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Simplicity isn't about the number of shapes but their interaction and harmony.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Aim for simplicity to make your work unique and engaging.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->",Composition,composition
44461,"CC #08—Elements of Visual Design","<!-- wp:embed {""url"":""https://youtube.com/live/nyzT51C04l8"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/nyzT51C04l8
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p><strong>Understanding Composition Principles</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Applying composition principles is crucial in landscape photography. While knowing the concepts is helpful, putting them into practice is where the magic happens. When I first started, composition felt very mechanical. But with practice and study, it became second nature.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>One core principle I always emphasize is ""LCU"" (leading the viewer into the picture). It’s all about creating a path for the viewer's eye and establishing a center of interest.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Unity and harmony within the frame are essential, though a bit of tension and dynamics can add to the overall composition.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Remember, these principles are not original; they are a blend of ideas from various artists and photographers.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>The Building Blocks: Elements of Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Visual design principles like variation, rhythm, contrast, and movement are the effects we aim to create in our images. The elements we use to achieve these effects are lines, shapes, tones, colors, and textures.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Think of tones as the lightness and darkness in your image; they add visual interest.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>When composing, focus on these elements rather than just labeling objects.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>The Power of Lines</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Lines are incredibly powerful in guiding the viewer's eye and creating movement within your image.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Horizontal and vertical lines provide stability, while diagonal lines introduce tension.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Lines can also enhance texture and depth, like in tidal pool reflections or landscape scenes.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Remember, lines are not just straight; they can be curved and winding, creating a sense of rhythm and movement.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Playing with Tonal Variation</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Tonal variation, which refers to the lightness and darkness of elements, plays a huge role in creating contrast and movement.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Highlights and shadows draw the viewer's eye and add depth and energy.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>For example, in a scene from Moab, Utah, I used sunlight and shadows to create a compelling image.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Silhouettes are a fantastic way to simplify complex scenes and create mood and atmosphere.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Shaping Your Composition</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Shapes are fundamental in visual design, creating movement and depth in your photographs.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Where you place shapes in the frame can affect how the viewer perceives distance.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Backlighting can enhance tone, especially in black-and-white photography.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Shapes help create variation, patterns, and visual weight, adding rhythm and interest to your composition.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>The Emotional Impact of Color</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Color is subjective but incredibly impactful. Understanding how different colors affect mood can transform your photography.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Complementary colors (opposite on the color wheel) create dynamic movement.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Analogous colors (next to each other on the color wheel) create harmony.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Examples: Red and green, yellow and blue combinations can make certain areas of your image pop.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Adding Texture</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Texture adds weight and interest to your images, but it must be used wisely.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Too much texture can overwhelm the viewer, so balance is key.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Use texture to guide the viewer's eye and create a balanced composition.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Contrasting textures, like grasses against a smooth background, can create depth and visual hierarchy.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->",Composition,"composition|visual design"
44462,"CC #09—Principles of Visual Design","<!-- wp:embed {""url"":""https://youtube.com/live/7rA8_MZb7AI"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/7rA8_MZb7AI
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>The overarching goal of visual design in photography is to create unity and lead the viewer through the image, establishing a center of interest.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>The ultimate aim is to evoke a feeling or emotion, allowing viewers to connect deeply with the image.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Gaining control over the viewer’s gaze makes it easier to convey a message, tell a story, and evoke emotion.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Elements and Principles of Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Visual design consists of elements and principles that work together to create compelling images.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Elements like lines, shapes, tones, colors, and textures are the building blocks we capture in the field.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Principles such as contrast, movement, dominance, and pattern help arrange these elements to enhance the image.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Variation in Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Variation is key to creating movement and energy in an image, achieved through various elements.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Contrast, rhythm, dominance, movement, and pattern all contribute to variation.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Variation in shapes, sizes, distances, colors, and textures can make an image more engaging.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>For example, a photograph of rocks can use variation in size, shape, and placement to create interest.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Post-processing tools like Lightroom can emphasize these principles through dodging and burning to create shadows and highlights.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Dominance in Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Dominance helps to simplify the message of the image by making certain elements stand out.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Dominance can be achieved through colors, shapes, and light.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Decide whether the sky or the land should be dominant to maintain a clear message.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Avoid cluttering the image with too many elements; simplicity is key.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Use shapes, size, and color to create dominance. For instance, trees placed from top to bottom of the frame can dominate a scene.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>A wide-angle lens can enhance the size and perspective of foreground objects, creating dominance and distortion.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Color dominance can be achieved by using a single color with a small amount of contrasting color for interest.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Movement in Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Movement guides the viewer’s eye through the image, creating a sense of depth and dynamism.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Diagonals are effective in creating movement through the image.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Perspective lines can pull the viewer into the frame.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>The placement of the horizon also influences movement and visual weight.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Pattern and Rhythm in Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Pattern and rhythm work together to create movement and interest in an image.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Patterns of similar elements can create movement and interest, but should not be too uniform or too random.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Black and white conversion can simplify the image, emphasizing pattern and rhythm.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Variation within the pattern, such as different angles of trees, adds to the composition’s appeal.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Contrast in Visual Design</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Contrast creates variation and interest in a composition.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Types of contrast include light and dark, cool and warm, smooth and rough, and active and passive areas.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Light and dark contrast, for example, can create depth and lead the viewer’s eye through the composition.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Use contrast to balance the foreground and background, ensuring an engaging composition.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Diagonals can also lead the viewer through the picture, adding movement.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Personal Intuition and Enthusiasm</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Your personal intuition and enthusiasm are vital in photography.</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Focus on subjects that genuinely interest you.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>There are no absolute rules in art; creativity should guide your work.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Learn from mistakes and view unsuccessful photographs as opportunities for growth.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Take your time with composition; rushing hinders learning and development.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Use visual design principles as guides, not strict rules, to enhance your understanding and intuition.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:separator -->
<hr class=""wp-block-separator has-alpha-channel-opacity""/>
<!-- /wp:separator -->

<!-- wp:paragraph -->
<p><strong>Key Takeaways</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Focus on Shapes and Colors: Think of objects as shapes and colors rather than labeling them.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Establish a Focal Point: Create a mood or feeling that immerses the viewer.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Remove Unnecessary Elements: Simplify your composition to enhance the overall impact.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->",Composition,"composition|visual design"
44465,"CC #11—Composition Breakdown","<!-- wp:embed {""url"":""https://youtube.com/live/4wS-rMyGgIc?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/4wS-rMyGgIc?feature=share
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>Building your visual literacy is paramount to improving your compositional skills and your ability to confidently assess your own work. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In this live streams, I share my compositional analysis of several photographs by Charlie Waite, Eliot Porter, and Michael Kenna, and explain why they work. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><em>All images Copyright the respective photographers. </em></p>
<!-- /wp:paragraph -->",Composition,composition
44466,"CC #03—Composition Breakdown","<!-- wp:embed {""url"":""https://youtube.com/live/HalOJoolems?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/HalOJoolems?feature=share
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>Building your visual literacy is paramount to improving your compositional skills and your ability to confidently assess your own work.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In this livestream, I share a compositional analysis of a few of my recent images and my workflow in Lightroom Classic. </p>
<!-- /wp:paragraph -->",Composition,composition
44467,"CC #04—Composition Breakdown","<!-- wp:embed {""url"":""https://youtube.com/live/c2Vf9En2cpk?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/c2Vf9En2cpk?feature=share
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>In this livestream, I share and analyzed some images from other photographers that have influenced me, then breakdown a few more of my own recent images.</p>
<!-- /wp:paragraph -->",Composition,composition
44471,"Creative Developing in Lightroom","<!-- wp:embed {""url"":""https://youtube.com/live/qm53FY22S5s?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/qm53FY22S5s?feature=share
</div></figure>
<!-- /wp:embed -->",Lightroom,developing|Lightroom
44473,"Creative Developing in Lightroom Pt II","<!-- wp:embed {""url"":""https://youtube.com/live/OJrqyh2Pgsw?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/OJrqyh2Pgsw?feature=share
</div></figure>
<!-- /wp:embed -->",Lightroom,developing|Lightroom
44474,"Lightroom Print Module: In-Depth","<!-- wp:embed {""url"":""https://youtube.com/live/tZTe22CS_3s?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/tZTe22CS_3s?feature=share
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->","Fine Art Printing|Lightroom",Lightroom|printing
44475,"Lightroom Print Module—Workflow","<!-- wp:embed {""url"":""https://youtube.com/live/YCEvVLI2fAk?feature=share"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtube.com/live/YCEvVLI2fAk?feature=share
</div></figure>
<!-- /wp:embed -->","Fine Art Printing|Lightroom",Lightroom|printing|workflow
